Project	IssueType	Summary	Parent_Summary	Assignee	Priority	FixVersion	DueDate	Component	Description
ENSCOMPARASW	Sub-task	Merge GeneTrees+Families+NCTrees+PatchProjectionsAsHomologies	Release <version> End of production window	<RelCo>	Major	Ensembl <version>		Release process	relco_doc#Releasecoordinationdocumentation-MergeGeneTrees+Families+NCTrees+PatchProjectionsAsHomologies
ENSCOMPARASW    Sub-task	PostHomologyMerge_conf pipeline   Release <version> End of production window      <RelCo> Major   Ensembl <version>               Release process Bio::EnsEMBL::Compara::PipeConfig::Example::EnsemblPostHomologyMerge_conf
ENSCOMPARASW	Sub-task	Final database checks	Release <version> End of production window	<RelCo>	Major	Ensembl <version>		Release process	relco_doc#Releasecoordinationdocumentation-Finaldatabasechecks
ENSCOMPARASW	Sub-task	Run HCs	Release <version> End of production window	<RelCo>	Major	Ensembl <version>		Release process	relco_doc#Releasecoordinationdocumentation-Runthehealthchecks
ENSCOMPARASW	Task	Release <version> Test the data on the staging server		<RelCo>	Major	Ensembl <version>		Release process	relco_doc#Releasecoordinationdocumentation-Testwebserver
ENSCOMPARASW	Sub-task	test the DNA data 	Release <version> Test the data on the staging server		Major	Ensembl <version>		Release process	https://www.ebi.ac.uk/seqdb/confluence/display/EnsCom/Testing+the+staging+website#Testingthestagingwebsite-DNAside
ENSCOMPARASW	Sub-task	test the homologies data	Release <version> Test the data on the staging server		Major	Ensembl <version>		Release process	https://www.ebi.ac.uk/seqdb/confluence/display/EnsCom/Testing+the+staging+website#Testingthestagingwebsite-Homologyside
ENSCOMPARASW	Sub-task	test the downloads	Release <version> Test the data on the staging server		Major	Ensembl <version>		Release process	https://www.ebi.ac.uk/seqdb/confluence/display/EnsCom/Testing+the+staging+website#Testingthestagingwebsite-Downloads
ENSCOMPARASW	Sub-task	test the documentation and statistics	Release <version> Test the data on the staging server		Major	Ensembl <version>		Release process	https://www.ebi.ac.uk/seqdb/confluence/display/EnsCom/Testing+the+staging+website#Testingthestagingwebsite-Documentation&Statistics
ENSCOMPARASW	Sub-task	Final Handover of DBs	Release <version> End of production window	<RelCo>	Major	Ensembl <version>		Release process	relco_doc#Releasecoordinationdocumentation-Finalhandoverofdatabases[edit]
ENSCOMPARASW	Task	Release <version> Post-handover		<RelCo>	Major	Ensembl <version>		Release process	relco_doc#Releasecoordinationdocumentation-Post-handover
ENSCOMPARASW	Sub-task	Generate and commit diagrams	Release <version> Post-handover	<RelCo>	Major	Ensembl <version>		Release tasks	relco_doc#Releasecoordinationdocumentation-Updatedocumentationanddiagrams[edit]
ENSCOMPARASW	Task	Release <version> Test the sites		<RelCo>	Major	Ensembl <version>		Release process	relco_doc#Releasecoordinationdocumentation-Testthesites
ENSCOMPARASW	Sub-task	test the main ensembl site	Release <version> Test the sites	<RelCo>	Major	Ensembl <version>		Release process	http://test.ensembl.org/
ENSCOMPARASW	Sub-task	test the GRCh37 site	Release <version> Test the sites	<RelCo>	Major	Ensembl <version>		Release process	http://test.ensembl.org
ENSCOMPARASW	Sub-task	test the main REST server	Release <version> Test the sites	<RelCo>	Major	Ensembl <version>		Release process	http://test.rest.ensembl.org/
ENSCOMPARASW	Sub-task	test the GRCh37 REST server	Release <version> Test the sites	<RelCo>	Major	Ensembl <version>		Release process	http://test.grch37.rest.ensembl.org/
ENSCOMPARASW	Sub-task	Data dump 	Release <version> Post-handover	<RelCo>	Major	Ensembl <version>		Release process	relco_doc#Releasecoordinationdocumentation-Datadumps
ENSCOMPARASW	Sub-task	Update the Jira_recurrent_tickets.txt	Release <version> Post-handover	<RelCo>	Major	Ensembl <version>		Release tasks	Update the Jira_recurrent_tickets.txt with any changes to the release process or tasks that has taken during the current release
